INSERT INTO equipo VALUES('0', 'Costa de Marfil', 'A', 'CONCACAF');
INSERT INTO equipo VALUES('1', 'Italia', 'A', 'CAF');
INSERT INTO equipo VALUES('2', 'Ucrania', 'A', 'CONMEBOL');
INSERT INTO equipo VALUES('3', 'Costa Rica', 'A', 'AFC');
INSERT INTO equipo VALUES('4', 'CanadÃ¡', 'B', 'UEFA');
INSERT INTO equipo VALUES('5', 'Alemania', 'B', 'CONMEBOL');
INSERT INTO equipo VALUES('6', 'MÃ©xico', 'B', 'AFC');
INSERT INTO equipo VALUES('7', 'SudÃ¡frica', 'B', 'CONCACAF');
INSERT INTO equipo VALUES('8', 'Brasil', 'C', 'UEFA');
INSERT INTO equipo VALUES('9', 'HungrÃ­a', 'C', 'OFC');
INSERT INTO equipo VALUES('10', 'Colombia', 'C', 'UEFA');
INSERT INTO equipo VALUES('11', 'PaÃ­ses Bajos', 'C', 'AFC');
INSERT INTO equipo VALUES('12', 'Estados Unidos', 'D', 'AFC');
INSERT INTO equipo VALUES('13', 'Venezuela', 'D', 'OFC');
INSERT INTO equipo VALUES('14', 'PanamÃ¡', 'D', 'CONMEBOL');
INSERT INTO equipo VALUES('15', 'Egipto', 'D', 'CONMEBOL');
INSERT INTO equipo VALUES('16', 'Portugal', 'E', 'AFC');
INSERT INTO equipo VALUES('17', 'Paraguay', 'E', 'OFC');
INSERT INTO equipo VALUES('18', 'EspaÃ±a', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('19', 'PerÃº', 'E', 'UEFA');
INSERT INTO equipo VALUES('20', 'Nigeria', 'F', 'CONCACAF');
INSERT INTO equipo VALUES('21', 'Austria', 'F', 'UEFA');
INSERT INTO equipo VALUES('22', 'Suiza', 'F', 'UEFA');
INSERT INTO equipo VALUES('23', 'Uruguay', 'F', 'CAF');
INSERT INTO equipo VALUES('24', 'Suecia', 'G', 'AFC');
INSERT INTO equipo VALUES('25', 'BÃ©lgica', 'G', 'CAF');
INSERT INTO equipo VALUES('26', 'Noruega', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('27', 'Finlandia', 'G', 'CONCACAF');
INSERT INTO equipo VALUES('28', 'Argentina', 'H', 'CONCACAF');
INSERT INTO equipo VALUES('29', 'Irlanda', 'H', 'CAF');
INSERT INTO equipo VALUES('30', 'Francia', 'H', 'CONMEBOL');
INSERT INTO equipo VALUES('31', 'Chile', 'H', 'CONMEBOL');
INSERT INTO equipo VALUES('0', 'Colombia', 'A', 'CONMEBOL');
INSERT INTO equipo VALUES('1', 'Estados Unidos', 'A', 'CAF');
INSERT INTO equipo VALUES('2', 'Bélgica', 'A', 'OFC');
INSERT INTO equipo VALUES('3', 'Uruguay', 'A', 'AFC');
INSERT INTO equipo VALUES('4', 'Brasil', 'B', 'CAF');
INSERT INTO equipo VALUES('5', 'Países Bajos', 'B', 'CONCACAF');
INSERT INTO equipo VALUES('6', 'Egipto', 'B', 'OFC');
INSERT INTO equipo VALUES('7', 'Argentina', 'B', 'OFC');
INSERT INTO equipo VALUES('8', 'Irlanda', 'C', 'UEFA');
INSERT INTO equipo VALUES('9', 'Portugal', 'C', 'CONMEBOL');
INSERT INTO equipo VALUES('10', 'Venezuela', 'C', 'UEFA');
INSERT INTO equipo VALUES('11', 'Costa de Marfil', 'C', 'CONCACAF');
INSERT INTO equipo VALUES('12', 'Paraguay', 'D', 'OFC');
INSERT INTO equipo VALUES('13', 'Hungría', 'D', 'UEFA');
INSERT INTO equipo VALUES('14', 'Francia', 'D', 'CONMEBOL');
INSERT INTO equipo VALUES('15', 'Costa Rica', 'D', 'UEFA');
INSERT INTO equipo VALUES('16', 'Perú', 'E', 'OFC');
INSERT INTO equipo VALUES('17', 'Canadá', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('18', 'Ucrania', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('19', 'Alemania', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('20', 'Panamá', 'F', 'OFC');
INSERT INTO equipo VALUES('21', 'Noruega', 'F', 'OFC');
INSERT INTO equipo VALUES('22', 'Italia', 'F', 'UEFA');
INSERT INTO equipo VALUES('23', 'Sudáfrica', 'F', 'UEFA');
INSERT INTO equipo VALUES('24', 'México', 'G', 'OFC');
INSERT INTO equipo VALUES('25', 'Suecia', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('26', 'Chile', 'G', 'AFC');
INSERT INTO equipo VALUES('27', 'Finlandia', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('28', 'Nigeria', 'H', 'CAF');
INSERT INTO equipo VALUES('29', 'Suiza', 'H', 'OFC');
INSERT INTO equipo VALUES('30', 'España', 'H', 'CONMEBOL');
INSERT INTO equipo VALUES('31', 'Austria', 'H', 'CONCACAF');
INSERT INTO equipo VALUES('0', 'Canadá', 'A', 'CONMEBOL');
INSERT INTO equipo VALUES('1', 'Francia', 'A', 'AFC');
INSERT INTO equipo VALUES('2', 'Ucrania', 'A', 'CONCACAF');
